date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:27:54	50327/50327	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:46:02%20GMT	http://azim.commonsupport.com/Appway/digital-marketing.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/digital-marketing.html	(from http://azim.commonsupport.com/Appway/)
04:27:55	57050/57050	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:45:30%20GMT	http://azim.commonsupport.com/Appway/cloud-saas.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/cloud-saas.html	(from http://azim.commonsupport.com/Appway/)
04:27:57	51857/51857	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:50:08%20GMT	http://azim.commonsupport.com/Appway/prototype-wireframing.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/prototype-wireframing.html	(from http://azim.commonsupport.com/Appway/)
04:27:59	55472/55472	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:45:50%20GMT	http://azim.commonsupport.com/Appway/crm-management.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/crm-management.html	(from http://azim.commonsupport.com/Appway/)
04:28:01	54396/54396	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:50:04%20GMT	http://azim.commonsupport.com/Appway/project-management.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/project-management.html	(from http://azim.commonsupport.com/Appway/)
04:28:03	70058/70058	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:46:08%20GMT	http://azim.commonsupport.com/Appway/digital-studio.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/digital-studio.html	(from http://azim.commonsupport.com/Appway/)
04:28:05	56218/56218	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:45:54%20GMT	http://azim.commonsupport.com/Appway/crypto.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/crypto.html	(from http://azim.commonsupport.com/Appway/)
04:28:07	51084/51084	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:50:30%20GMT	http://azim.commonsupport.com/Appway/ride-sharing.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/ride-sharing.html	(from http://azim.commonsupport.com/Appway/)
04:28:09	52791/52791	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:52:54%20GMT	http://azim.commonsupport.com/Appway/web-hosting.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/web-hosting.html	(from http://azim.commonsupport.com/Appway/)
04:28:11	61785/61785	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:47:44%20GMT	http://azim.commonsupport.com/Appway/home-charity.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/home-charity.html	(from http://azim.commonsupport.com/Appway/)
04:28:14	41352/41352	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:52:24%20GMT	http://azim.commonsupport.com/Appway/team.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/team.html	(from http://azim.commonsupport.com/Appway/)
04:28:15	44959/44959	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:52:14%20GMT	http://azim.commonsupport.com/Appway/team-2.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/team-2.html	(from http://azim.commonsupport.com/Appway/)
04:28:16	45558/45558	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:52:18%20GMT	http://azim.commonsupport.com/Appway/team-3.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/team-3.html	(from http://azim.commonsupport.com/Appway/)
04:28:17	45434/45434	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:51:30%20GMT	http://azim.commonsupport.com/Appway/service.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/service.html	(from http://azim.commonsupport.com/Appway/)
04:28:18	41398/41398	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:50:58%20GMT	http://azim.commonsupport.com/Appway/service-details.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/service-details.html	(from http://azim.commonsupport.com/Appway/)
04:28:19	47430/47430	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:50:00%20GMT	http://azim.commonsupport.com/Appway/pricing.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/pricing.html	(from http://azim.commonsupport.com/Appway/)
04:28:20	47715/47715	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:49:36%20GMT	http://azim.commonsupport.com/Appway/pricing-2.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/pricing-2.html	(from http://azim.commonsupport.com/Appway/)
04:28:21	46057/46057	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:49:40%20GMT	http://azim.commonsupport.com/Appway/pricing-3.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/pricing-3.html	(from http://azim.commonsupport.com/Appway/)
04:28:22	53152/53152	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:49:46%20GMT	http://azim.commonsupport.com/Appway/pricing-4.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/pricing-4.html	(from http://azim.commonsupport.com/Appway/)
04:28:24	61523/61523	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:52:34%20GMT	http://azim.commonsupport.com/Appway/testimonial.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/testimonial.html	(from http://azim.commonsupport.com/Appway/)
